                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.44446,                0.24161,                0.88795,                      1,                0.99936,                  0.995,                 0.9065,                0.48909,                0.20401,                0.89013,               0.000614,               0.000614,               0.000614
                     73,                0.43231,                0.23531,                0.87665,                0.99929,                      1,                  0.995,                0.89925,                0.48969,                0.20776,                0.89101,              0.0005942,              0.0005942,              0.0005942
                     74,                0.44527,                0.24215,                0.87311,                0.99935,                      1,                  0.995,                0.90997,                 0.4811,                0.20904,                0.89041,              0.0005744,              0.0005744,              0.0005744
                     75,                0.42758,                0.23646,                 0.8731,                0.99961,                      1,                  0.995,                0.90738,                0.48482,                0.20488,                0.88822,              0.0005546,              0.0005546,              0.0005546
                     76,                0.43178,                0.23941,                0.87722,                0.99966,                      1,                  0.995,                0.91089,                0.47804,                0.20406,                0.88561,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.4239,                0.22998,                0.87729,                0.99962,                      1,                  0.995,                0.91108,                0.48088,                0.20094,                0.89133,               0.000515,               0.000515,               0.000515
                     78,                0.42987,                 0.2384,                0.88236,                0.99962,                      1,                  0.995,                0.90032,                0.49608,                0.20602,                0.89611,              0.0004952,              0.0004952,              0.0004952
                     79,                0.41643,                0.22956,                0.87477,                0.99957,                      1,                  0.995,                0.90957,                0.49077,                0.20648,                 0.8911,              0.0004754,              0.0004754,              0.0004754
                     80,                0.42062,                0.22788,                0.87352,                0.99955,                      1,                  0.995,                0.90924,                0.50503,                0.20987,                0.90426,              0.0004556,              0.0004556,              0.0004556
                     81,                0.42027,                0.22724,                0.87399,                0.99959,                      1,                  0.995,                 0.9052,                0.48877,                0.20188,                0.89029,              0.0004358,              0.0004358,              0.0004358
                     82,                0.41676,                0.22457,                0.87849,                0.99965,                      1,                  0.995,                0.90463,                0.50053,                0.19986,                0.89649,               0.000416,               0.000416,               0.000416
                     83,                0.40374,                0.22184,                0.86553,                0.99967,                      1,                  0.995,                0.90789,                0.48515,                0.19822,                0.89154,              0.0003962,              0.0003962,              0.0003962
                     84,                0.40395,                0.22131,                 0.8688,                0.99966,                      1,                  0.995,                0.90547,                0.49977,                0.20372,                0.89441,              0.0003764,              0.0003764,              0.0003764
                     85,                0.40409,                0.22103,                0.87088,                0.99949,                      1,                  0.995,                 0.9076,                0.48465,                0.19976,                0.88678,              0.0003566,              0.0003566,              0.0003566
                     86,                0.39872,                0.22162,                0.86526,                 0.9932,                      1,                0.99494,                0.90702,                0.48827,                0.20374,                0.89146,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.3926,                0.21709,                0.86358,                0.99968,                      1,                  0.995,                0.90836,                0.49493,                0.20265,                0.89329,               0.000317,               0.000317,               0.000317
